Page Order,Semantic Name,Element Type,Logical Name,Playwright Best,Relative XPath,Absolute XPath,CSS Selector,ID Attribute,Name Attribute,Class Name,Coordinates,Dimension,Confidence Score
1,product_store_a,Link,PRODUCT STORE,"await page.getByRole('link', name='PRODUCT STORE')",//a[@id='nava'],/html[1]/body[1]/nav[1]/a[1],a#nava,nava,,navbar-brand,"(16, 8)",227.25 × 58,90
2,home_current_a,Link,"Home
(current)","await page.getByRole('link', name='Home
(current)')","//div[@id='navbarExample']/ul[contains(@class, 'navbar-nav ml-auto')]/li[contains(@class, 'nav-item active')][1]/a[contains(@class, 'nav-link')]",/html[1]/body[1]/nav[1]/div[1]/ul[1]/li[1]/a[1],div#navbarExample > ul.navbar-nav ml-auto > li.nav-item active > a.nav-link,,,nav-link,"(764, 17.0625)",58.65625 × 40,90
3,contact,Link,Contact,"await page.getByRole('link', name='Contact')","//div[@id='navbarExample']/ul[contains(@class, 'navbar-nav ml-auto')]/li[contains(@class, 'nav-item')][2]/a[contains(@class, 'nav-link')]",/html[1]/body[1]/nav[1]/div[1]/ul[1]/li[2]/a[1],div#navbarExample > ul.navbar-nav ml-auto > li.nav-item:nth-of-type(2) > a.nav-link,,,nav-link,"(822.65625, 17.0625)",71.484375 × 40,90
4,about_us,Link,About us,"await page.getByRole('link', name='About us')","//div[@id='navbarExample']/ul[contains(@class, 'navbar-nav ml-auto')]/li[contains(@class, 'nav-item')][3]/a[contains(@class, 'nav-link')]",/html[1]/body[1]/nav[1]/div[1]/ul[1]/li[3]/a[1],div#navbarExample > ul.navbar-nav ml-auto > li.nav-item:nth-of-type(3) > a.nav-link,,,nav-link,"(894.140625, 17.0625)",79.46875 × 40,90
5,cart,Link,Cart,"await page.getByRole('link', name='Cart')",//a[@id='cartur'],/html[1]/body[1]/nav[1]/div[1]/ul[1]/li[4]/a[1],a#cartur,cartur,,nav-link,"(973.609375, 17.0625)",46.203125 × 40,90
6,log_in_a,Link,Log in,"await page.getByRole('link', name='Log in')",//a[@id='login2'],/html[1]/body[1]/nav[1]/div[1]/ul[1]/li[5]/a[1],a#login2,login2,,nav-link,"(1019.8125, 17.0625)",57.859375 × 40,90
7,sign_up_a,Link,Sign up,"await page.getByRole('link', name='Sign up')",//a[@id='signin2'],/html[1]/body[1]/nav[1]/div[1]/ul[1]/li[8]/a[1],a#signin2,signin2,,nav-link,"(1077.671875, 17.0625)",67.6875 × 40,90
8,previous_a,Link,Previous,"await page.getByRole('link', name='Previous')","//div[@id='carouselExampleIndicators']/a[contains(@class, 'carousel-control-prev')][1]",/html[1]/body[1]/nav[1]/div[2]/div[1]/a[1],div#carouselExampleIndicators > a.carousel-control-prev,,,carousel-control-prev,"(215.109375, 77)",117.59375 × 304.875,90
9,second_slide_img,Interactive Element,Second slide,await page.locator('div#carouselExampleIndicators > div.carousel-inner > div.carousel-item active:nth-of-type(2) > img.d-block img-fluid'),"//div[@id='carouselExampleIndicators']/div[contains(@class, 'carousel-inner')][1]/div[contains(@class, 'carousel-item active')][2]/img[contains(@class, 'd-block img-fluid')]",/html[1]/body[1]/nav[1]/div[2]/div[1]/div[1]/div[2]/img[1],div#carouselExampleIndicators > div.carousel-inner > div.carousel-item active:nth-of-type(2) > img.d-block img-fluid,,,d-block img-fluid,"(293.5, 77)",783.953125 × 304.875,80
10,next_a,Link,Next,"await page.getByRole('link', name='Next')","//div[@id='carouselExampleIndicators']/a[contains(@class, 'carousel-control-next')][2]",/html[1]/body[1]/nav[1]/div[2]/div[1]/a[2],div#carouselExampleIndicators > a.carousel-control-next:nth-of-type(2),,,carousel-control-next,"(1038.296875, 77)",117.59375 × 304.875,90
11,sony_vaio_i5_categories,Link,CATEGORIES - Sony vaio i5,"await page.getByRole('link', name='CATEGORIES')",//a[@id='cat'],/html[1]/body[1]/div[5]/div[1]/div[1]/div[1]/a[1],a#cat,cat,,list-group-item,"(122.5, 431.296875)",255 × 63.5,90
12,sony_vaio_i5_a,Link,Unknown Context,await page.locator('div#tbodyid > div.col-lg-4 col-md-6 mb-4 > div.card h-100 > a'),"//div[@id='tbodyid']/div[contains(@class, 'col-lg-4 col-md-6 mb-4')][1]/div[contains(@class, 'card h-100')]/a[1]",/html[1]/body[1]/div[5]/div[1]/div[2]/div[1]/div[1]/div[1]/a[1],div#tbodyid > div.col-lg-4 col-md-6 mb-4 > div.card h-100 > a,,,,"(408.5, 432.296875)",252.984375 × 142.21875,80
